JUCE v5.3.2
Start MalKovChainSequencer
Start analysis
Num Tracks = 1
Start reading MIDI ...
============================================
Read Track: 0
TEMPO: Sec/QuarterNote: 0.400000
NOTEON: NoteNumber:28 at: 3.204167
NOTEOFF: NoteNumber:28 at: 3.212500
NOTEON: NoteNumber:28 at: 3.404167
NOTEON: NoteNumber:40 at: 3.408333
NOTEOFF: NoteNumber:28 at: 3.412500
NOTEOFF: NoteNumber:40 at: 3.416667
NOTEON: NoteNumber:28 at: 3.504167
NOTEON: NoteNumber:40 at: 3.508333
NOTEOFF: NoteNumber:28 at: 3.512500
NOTEOFF: NoteNumber:40 at: 3.516667
NOTEON: NoteNumber:28 at: 3.604167
NOTEON: NoteNumber:40 at: 3.608333
NOTEOFF: NoteNumber:28 at: 3.612500
NOTEOFF: NoteNumber:40 at: 3.616667
NOTEON: NoteNumber:28 at: 3.804167
NOTEOFF: NoteNumber:28 at: 3.812500
NOTEON: NoteNumber:28 at: 3.904167
NOTEOFF: NoteNumber:28 at: 3.912500
NOTEON: NoteNumber:28 at: 4.004167
NOTEOFF: NoteNumber:28 at: 4.012500
NOTEON: NoteNumber:28 at: 4.204167
NOTEON: NoteNumber:40 at: 4.208333
NOTEOFF: NoteNumber:28 at: 4.212500
NOTEOFF: NoteNumber:40 at: 4.216667
NOTEON: NoteNumber:28 at: 4.304167
NOTEON: NoteNumber:40 at: 4.308333
NOTEOFF: NoteNumber:28 at: 4.312500
NOTEOFF: NoteNumber:40 at: 4.316667
NOTEON: NoteNumber:28 at: 4.404167
NOTEON: NoteNumber:40 at: 4.408333
NOTEOFF: NoteNumber:28 at: 4.412500
NOTEOFF: NoteNumber:40 at: 4.416667
NOTEON: NoteNumber:28 at: 4.604167
NOTEOFF: NoteNumber:28 at: 4.612500
NOTEON: NoteNumber:28 at: 4.704167
NOTEOFF: NoteNumber:28 at: 4.712500
NOTEON: NoteNumber:28 at: 4.804167
NOTEOFF: NoteNumber:28 at: 4.812500
NOTEON: NoteNumber:28 at: 5.004167
NOTEON: NoteNumber:40 at: 5.008333
NOTEOFF: NoteNumber:28 at: 5.012500
NOTEOFF: NoteNumber:40 at: 5.016667
NOTEON: NoteNumber:28 at: 5.104167
NOTEON: NoteNumber:40 at: 5.108333
NOTEOFF: NoteNumber:28 at: 5.112500
NOTEOFF: NoteNumber:40 at: 5.116667
NOTEON: NoteNumber:28 at: 5.204167
NOTEON: NoteNumber:40 at: 5.208333
NOTEOFF: NoteNumber:28 at: 5.212500
NOTEOFF: NoteNumber:40 at: 5.216667
NOTEON: NoteNumber:28 at: 5.404167
NOTEOFF: NoteNumber:28 at: 5.412500
NOTEON: NoteNumber:28 at: 5.504167
NOTEOFF: NoteNumber:28 at: 5.512500
NOTEON: NoteNumber:28 at: 5.604167
NOTEOFF: NoteNumber:28 at: 5.612500
NOTEON: NoteNumber:28 at: 5.804167
NOTEON: NoteNumber:40 at: 5.808333
NOTEOFF: NoteNumber:28 at: 5.812500
NOTEOFF: NoteNumber:40 at: 5.816667
NOTEON: NoteNumber:28 at: 5.904167
NOTEON: NoteNumber:40 at: 5.908333
NOTEOFF: NoteNumber:28 at: 5.912500
NOTEOFF: NoteNumber:40 at: 5.916667
NOTEON: NoteNumber:28 at: 6.004167
NOTEON: NoteNumber:40 at: 6.008333
NOTEOFF: NoteNumber:28 at: 6.012500
NOTEOFF: NoteNumber:40 at: 6.016667
NOTEON: NoteNumber:28 at: 6.204167
NOTEOFF: NoteNumber:28 at: 6.212500
NOTEON: NoteNumber:28 at: 6.304167
NOTEOFF: NoteNumber:28 at: 6.312500
NOTEON: NoteNumber:28 at: 6.404167
NOTEOFF: NoteNumber:28 at: 6.412500
NOTEON: NoteNumber:28 at: 6.604167
NOTEON: NoteNumber:40 at: 6.608333
NOTEOFF: NoteNumber:28 at: 6.612500
NOTEOFF: NoteNumber:40 at: 6.616667
NOTEON: NoteNumber:28 at: 6.704167
NOTEON: NoteNumber:40 at: 6.708333
NOTEOFF: NoteNumber:28 at: 6.712500
NOTEOFF: NoteNumber:40 at: 6.716667
NOTEON: NoteNumber:28 at: 6.804167
NOTEON: NoteNumber:40 at: 6.808333
NOTEOFF: NoteNumber:28 at: 6.812500
NOTEOFF: NoteNumber:40 at: 6.816667
NOTEON: NoteNumber:28 at: 7.004167
NOTEOFF: NoteNumber:28 at: 7.012500
NOTEON: NoteNumber:28 at: 7.104167
NOTEOFF: NoteNumber:28 at: 7.112500
NOTEON: NoteNumber:67 at: 7.187500
NOTEON: NoteNumber:70 at: 7.191667
NOTEON: NoteNumber:38 at: 7.195833
NOTEON: NoteNumber:74 at: 7.195833
NOTEON: NoteNumber:34 at: 7.200000
NOTEON: NoteNumber:58 at: 7.200000
NOTEON: NoteNumber:53 at: 7.200000
NOTEON: NoteNumber:46 at: 7.200000
NOTEOFF: NoteNumber:38 at: 7.204167
NOTEON: NoteNumber:28 at: 7.204167
NOTEON: NoteNumber:62 at: 7.204167
NOTEOFF: NoteNumber:28 at: 7.212500
NOTEON: NoteNumber:28 at: 7.404167
NOTEON: NoteNumber:40 at: 7.408333
NOTEOFF: NoteNumber:28 at: 7.412500
NOTEOFF: NoteNumber:40 at: 7.416667
NOTEON: NoteNumber:28 at: 7.504167
NOTEON: NoteNumber:40 at: 7.508333
NOTEOFF: NoteNumber:28 at: 7.512500
NOTEOFF: NoteNumber:40 at: 7.516667
NOTEOFF: NoteNumber:67 at: 7.554167
NOTEOFF: NoteNumber:70 at: 7.558333
NOTEOFF: NoteNumber:74 at: 7.562500
NOTEOFF: NoteNumber:58 at: 7.566667
NOTEOFF: NoteNumber:62 at: 7.570833
NOTEOFF: NoteNumber:34 at: 7.575000
NOTEOFF: NoteNumber:53 at: 7.583333
NOTEOFF: NoteNumber:46 at: 7.583333
NOTEON: NoteNumber:69 at: 7.587500
NOTEON: NoteNumber:38 at: 7.591667
NOTEON: NoteNumber:73 at: 7.591667
NOTEON: NoteNumber:76 at: 7.595833
NOTEOFF: NoteNumber:38 at: 7.600000
NOTEON: NoteNumber:33 at: 7.600000
NOTEON: NoteNumber:61 at: 7.600000
NOTEON: NoteNumber:52 at: 7.600000
NOTEON: NoteNumber:45 at: 7.600000
NOTEON: NoteNumber:28 at: 7.604167
NOTEON: NoteNumber:38 at: 7.604167
NOTEON: NoteNumber:64 at: 7.604167
NOTEON: NoteNumber:40 at: 7.608333
NOTEOFF: NoteNumber:28 at: 7.612500
NOTEOFF: NoteNumber:38 at: 7.612500
NOTEOFF: NoteNumber:40 at: 7.616667
NOTEON: NoteNumber:28 at: 7.804167
NOTEOFF: NoteNumber:28 at: 7.812500
NOTEON: NoteNumber:28 at: 7.904167
NOTEOFF: NoteNumber:28 at: 7.912500
NOTEOFF: NoteNumber:69 at: 7.954167
NOTEOFF: NoteNumber:73 at: 7.958333
NOTEOFF: NoteNumber:76 at: 7.962500
NOTEOFF: NoteNumber:61 at: 7.966667
NOTEOFF: NoteNumber:64 at: 7.970833
NOTEOFF: NoteNumber:33 at: 7.975000
NOTEOFF: NoteNumber:52 at: 7.983333
NOTEOFF: NoteNumber:45 at: 7.983333
NOTEON: NoteNumber:69 at: 7.987500
NOTEON: NoteNumber:74 at: 7.991667
NOTEON: NoteNumber:36 at: 7.995833
NOTEON: NoteNumber:77 at: 7.995833
NOTEON: NoteNumber:26 at: 8.000000
NOTEON: NoteNumber:62 at: 8.000000
NOTEON: NoteNumber:57 at: 8.000000
NOTEON: NoteNumber:45 at: 8.000000
NOTEON: NoteNumber:38 at: 8.000000
NOTEOFF: NoteNumber:36 at: 8.004167
NOTEON: NoteNumber:50 at: 8.004167
NOTEON: NoteNumber:28 at: 8.004167
NOTEON: NoteNumber:65 at: 8.004167
NOTEOFF: NoteNumber:57 at: 8.008333
NOTEOFF: NoteNumber:28 at: 8.012500
NOTEOFF: NoteNumber:50 at: 8.029167
NOTEON: NoteNumber:50 at: 8.104167
NOTEOFF: NoteNumber:50 at: 8.129167
NOTEON: NoteNumber:42 at: 8.200000
NOTEON: NoteNumber:50 at: 8.204167
NOTEON: NoteNumber:28 at: 8.204167
NOTEOFF: NoteNumber:42 at: 8.208333
NOTEON: NoteNumber:40 at: 8.208333
NOTEOFF: NoteNumber:28 at: 8.212500
NOTEOFF: NoteNumber:40 at: 8.216667
NOTEOFF: NoteNumber:50 at: 8.229167
NOTEON: NoteNumber:50 at: 8.304167
NOTEON: NoteNumber:28 at: 8.304167
NOTEON: NoteNumber:40 at: 8.308333
NOTEOFF: NoteNumber:28 at: 8.312500
NOTEOFF: NoteNumber:40 at: 8.316667
NOTEOFF: NoteNumber:50 at: 8.329167
NOTEON: NoteNumber:38 at: 8.395833
NOTEON: NoteNumber:36 at: 8.395833
NOTEON: NoteNumber:42 at: 8.400000
NOTEOFF: NoteNumber:38 at: 8.404167
NOTEOFF: NoteNumber:36 at: 8.404167
NOTEON: NoteNumber:50 at: 8.404167
NOTEON: NoteNumber:28 at: 8.404167
NOTEOFF: NoteNumber:42 at: 8.408333
NOTEON: NoteNumber:40 at: 8.408333
NOTEOFF: NoteNumber:28 at: 8.412500
NOTEOFF: NoteNumber:40 at: 8.416667
NOTEOFF: NoteNumber:50 at: 8.429167
NOTEON: NoteNumber:62 at: 8.504167
NOTEOFF: NoteNumber:62 at: 8.529167
NOTEOFF: NoteNumber:26 at: 8.550000
NOTEOFF: NoteNumber:62 at: 8.583333
NOTEOFF: NoteNumber:45 at: 8.583333
NOTEOFF: NoteNumber:38 at: 8.583333
NOTEOFF: NoteNumber:65 at: 8.587500
NOTEON: NoteNumber:28 at: 8.600000
NOTEON: NoteNumber:64 at: 8.600000
NOTEON: NoteNumber:42 at: 8.600000
NOTEON: NoteNumber:45 at: 8.600000
NOTEON: NoteNumber:40 at: 8.600000
NOTEON: NoteNumber:28 at: 8.604167
NOTEON: NoteNumber:57 at: 8.604167
NOTEON: NoteNumber:67 at: 8.604167
NOTEOFF: NoteNumber:42 at: 8.608333
NOTEOFF: NoteNumber:28 at: 8.612500
NOTEOFF: NoteNumber:57 at: 8.629167
NOTEON: NoteNumber:28 at: 8.704167
NOTEON: NoteNumber:53 at: 8.704167
NOTEOFF: NoteNumber:28 at: 8.712500
NOTEOFF: NoteNumber:53 at: 8.729167
NOTEON: NoteNumber:36 at: 8.795833
NOTEON: NoteNumber:42 at: 8.800000
NOTEOFF: NoteNumber:36 at: 8.804167
NOTEON: NoteNumber:28 at: 8.804167
NOTEON: NoteNumber:50 at: 8.804167
NOTEOFF: NoteNumber:42 at: 8.808333
NOTEOFF: NoteNumber:28 at: 8.812500
NOTEOFF: NoteNumber:50 at: 8.829167
NOTEON: NoteNumber:50 at: 8.904167
NOTEOFF: NoteNumber:50 at: 8.929167
NOTEON: NoteNumber:42 at: 9.000000
NOTEON: NoteNumber:50 at: 9.004167
NOTEON: NoteNumber:28 at: 9.004167
NOTEOFF: NoteNumber:42 at: 9.008333
NOTEON: NoteNumber:40 at: 9.008333
NOTEOFF: NoteNumber:28 at: 9.012500
NOTEOFF: NoteNumber:40 at: 9.016667
NOTEOFF: NoteNumber:50 at: 9.029167
NOTEON: NoteNumber:50 at: 9.104167
NOTEON: NoteNumber:28 at: 9.104167
NOTEON: NoteNumber:40 at: 9.108333
NOTEOFF: NoteNumber:28 at: 9.112500
NOTEOFF: NoteNumber:40 at: 9.116667
NOTEOFF: NoteNumber:50 at: 9.129167
NOTEOFF: NoteNumber:28 at: 9.150000
NOTEOFF: NoteNumber:64 at: 9.183333
NOTEOFF: NoteNumber:45 at: 9.183333
NOTEOFF: NoteNumber:40 at: 9.183333
NOTEOFF: NoteNumber:67 at: 9.187500
NOTEON: NoteNumber:38 at: 9.195833
NOTEON: NoteNumber:36 at: 9.195833
NOTEON: NoteNumber:29 at: 9.200000
NOTEON: NoteNumber:65 at: 9.200000
NOTEON: NoteNumber:42 at: 9.200000
NOTEON: NoteNumber:48 at: 9.200000
NOTEON: NoteNumber:41 at: 9.200000
NOTEOFF: NoteNumber:38 at: 9.204167
NOTEOFF: NoteNumber:36 at: 9.204167
NOTEON: NoteNumber:50 at: 9.204167
NOTEON: NoteNumber:28 at: 9.204167
NOTEON: NoteNumber:69 at: 9.204167
NOTEOFF: NoteNumber:42 at: 9.208333
NOTEON: NoteNumber:40 at: 9.208333
NOTEOFF: NoteNumber:28 at: 9.212500
NOTEOFF: NoteNumber:40 at: 9.216667
NOTEOFF: NoteNumber:50 at: 9.229167
NOTEON: NoteNumber:62 at: 9.304167
NOTEOFF: NoteNumber:62 at: 9.329167
NOTEON: NoteNumber:42 at: 9.400000
NOTEON: NoteNumber:28 at: 9.404167
NOTEON: NoteNumber:57 at: 9.404167
NOTEOFF: NoteNumber:42 at: 9.408333
NOTEOFF: NoteNumber:28 at: 9.412500
NOTEOFF: NoteNumber:57 at: 9.429167
NOTEON: NoteNumber:53 at: 9.504167
NOTEON: NoteNumber:28 at: 9.504167
NOTEOFF: NoteNumber:28 at: 9.512500
NOTEOFF: NoteNumber:53 at: 9.529167
NOTEOFF: NoteNumber:69 at: 9.570833
NOTEOFF: NoteNumber:74 at: 9.575000
NOTEOFF: NoteNumber:77 at: 9.579167
NOTEON: NoteNumber:36 at: 9.595833
NOTEON: NoteNumber:42 at: 9.600000
NOTEOFF: NoteNumber:36 at: 9.604167
NOTEON: NoteNumber:50 at: 9.604167
NOTEON: NoteNumber:28 at: 9.604167
NOTEOFF: NoteNumber:42 at: 9.608333
NOTEOFF: NoteNumber:28 at: 9.612500
NOTEOFF: NoteNumber:50 at: 9.629167
NOTEON: NoteNumber:50 at: 9.704167
NOTEOFF: NoteNumber:50 at: 9.729167
NOTEOFF: NoteNumber:48 at: 9.733333
NOTEOFF: NoteNumber:41 at: 9.733333
NOTEOFF: NoteNumber:29 at: 9.766667
NOTEOFF: NoteNumber:65 at: 9.783333
NOTEOFF: NoteNumber:69 at: 9.787500
NOTEON: NoteNumber:77 at: 9.795833
NOTEON: NoteNumber:26 at: 9.800000
NOTEON: NoteNumber:62 at: 9.800000
NOTEON: NoteNumber:45 at: 9.800000
NOTEON: NoteNumber:38 at: 9.800000
NOTEON: NoteNumber:42 at: 9.800000
NOTEON: NoteNumber:50 at: 9.804167
NOTEON: NoteNumber:28 at: 9.804167
NOTEON: NoteNumber:65 at: 9.804167
NOTEOFF: NoteNumber:42 at: 9.808333
NOTEON: NoteNumber:40 at: 9.808333
NOTEOFF: NoteNumber:28 at: 9.812500
NOTEOFF: NoteNumber:40 at: 9.816667
NOTEOFF: NoteNumber:50 at: 9.829167
NOTEON: NoteNumber:50 at: 9.904167
NOTEON: NoteNumber:28 at: 9.904167
NOTEON: NoteNumber:40 at: 9.908333
NOTEOFF: NoteNumber:28 at: 9.912500
NOTEOFF: NoteNumber:40 at: 9.916667
NOTEOFF: NoteNumber:50 at: 9.929167
NOTEOFF: NoteNumber:77 at: 9.970833
NOTEON: NoteNumber:79 at: 9.995833
NOTEON: NoteNumber:38 at: 9.995833
NOTEON: NoteNumber:36 at: 9.995833
NOTEON: NoteNumber:42 at: 10.000000
NOTEOFF: NoteNumber:38 at: 10.004167
NOTEOFF: NoteNumber:36 at: 10.004167
NOTEON: NoteNumber:50 at: 10.004167
NOTEON: NoteNumber:28 at: 10.004167
NOTEOFF: NoteNumber:42 at: 10.008333
NOTEON: NoteNumber:40 at: 10.008333
NOTEOFF: NoteNumber:28 at: 10.012500
NOTEOFF: NoteNumber:40 at: 10.016667
NOTEOFF: NoteNumber:50 at: 10.029167
NOTEON: NoteNumber:62 at: 10.104167
NOTEOFF: NoteNumber:62 at: 10.129167
NOTEOFF: NoteNumber:79 at: 10.162500
NOTEON: NoteNumber:77 at: 10.195833
NOTEON: NoteNumber:42 at: 10.200000
NOTEON: NoteNumber:28 at: 10.204167
NOTEON: NoteNumber:57 at: 10.204167
NOTEOFF: NoteNumber:42 at: 10.208333
NOTEOFF: NoteNumber:28 at: 10.212500
NOTEOFF: NoteNumber:57 at: 10.229167
NOTEON: NoteNumber:28 at: 10.304167
NOTEON: NoteNumber:53 at: 10.304167
NOTEOFF: NoteNumber:28 at: 10.312500
NOTEOFF: NoteNumber:26 at: 10.316667
NOTEOFF: NoteNumber:53 at: 10.329167
NOTEOFF: NoteNumber:77 at: 10.362500
NOTEOFF: NoteNumber:62 at: 10.383333
NOTEOFF: NoteNumber:45 at: 10.383333
NOTEOFF: NoteNumber:38 at: 10.383333
NOTEOFF: NoteNumber:65 at: 10.387500
NOTEON: NoteNumber:76 at: 10.395833
NOTEON: NoteNumber:36 at: 10.395833
NOTEON: NoteNumber:24 at: 10.400000
NOTEON: NoteNumber:43 at: 10.400000
NOTEON: NoteNumber:36 at: 10.400000
NOTEON: NoteNumber:60 at: 10.400000
NOTEON: NoteNumber:42 at: 10.400000
NOTEOFF: NoteNumber:36 at: 10.404167
NOTEON: NoteNumber:50 at: 10.404167
NOTEON: NoteNumber:28 at: 10.404167
NOTEON: NoteNumber:64 at: 10.404167
NOTEOFF: NoteNumber:42 at: 10.408333
NOTEOFF: NoteNumber:28 at: 10.412500
NOTEOFF: NoteNumber:50 at: 10.429167
NOTEON: NoteNumber:50 at: 10.504167
NOTEOFF: NoteNumber:50 at: 10.529167
